2025-11-11 21:19:39.488 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.490 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product AVCSCRM400: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.490 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.490 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.490 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product LSHK: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product SALCAL: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCHAMPR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CGPSHBL: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product KAB: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.491 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product SALPEPKR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product LCCR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product BMIN: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.492 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product AVCRB250: appliedRule string = 'System Default - Maintain GP%'
